id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
207162149,2,2,1,2.0,19583.3333333333,9791.66666666667,22794.7625,11397.38125,3136.0025,0.0,1700.0,6794.14,165.26,329.08,1216.73,2243.6,1876.0,3200.0,1212.4,921.55
259018872,2,2,2,1.0,91625.0,45812.5,37473.13,18736.565,7259.245,1151.78,200.0,7415.5,1965.68,346.4,5863.585,2340.0,3300.0,1650.0,2186.65,3794.29
760302939,2,1,1,1.0,38166.6666666667,38166.6666666667,16204.35,16204.35,2987.7,952.6,400.0,8616.0,0.0,0.0,448.05,800.0,2000.0,0.0,0.0,0.0
349501860,2,1,1,1.0,8087.5,8087.5,11162.875,11162.875,1387.765,0.0,100.0,1965.0,1562.17,4000.0,77.94,1950.0,0.0,0.0,0.0,120.0
970270708,2,2,2,1.0,37916.6666666667,18958.3333333333,13364.945,6682.4725,2543.875,0.0,0.0,2710.96,160.0,2000.0,2132.05,1702.63,732.63,0.0,952.6,430.2
285432778,2,2,1,2.0,27083.3333333333,13541.6666666667,38149.3231,19074.66155,9642.4337,0.0,0.0,2000.0,2294.309,3108.25,519.6,1950.0,5003.625,6000.0,4892.9,2738.2054
502254625,2,5,1,5.0,34500.0,6900.0,18493.4367,3698.68734,7819.9367,1363.95,1220.0,3350.0,0.0,128.0,454.65,1198.0,0.0,730.0,1428.9,800.0
893749996,2,3,1,3.0,5550.0,1850.0,6354.4,2118.13333333333,2294.9,0.0,0.0,2150.0,0.0,649.5,160.0,1100.0,0.0,0.0,0.0,0.0
769198719,2,1,1,1.0,49423.5,49423.5,9974.5261,9974.5261,1877.8344,0.0,0.0,624.305,400.0,0.0,0.0,2418.94,760.0,0.0,3355.75,537.6967
179655255,2,1,1,1.0,50000.0,50000.0,62515.74,62515.74,6793.77,294.44,12780.0,13020.0,1819.0,8095.17,1324.98,2450.0,5822.4,3952.0,5447.14,716.84
31762694,2,2,2,1.0,27900.0,13950.0,19922.027,9961.0135,2381.5,1558.8,350.0,2884.0,118.6,688.47,465.475,2053.0,1608.092,1000.0,6378.09,436.0
293434815,2,1,1,1.0,25125.5,25125.5,17167.0633,17167.0633,2927.1233,805.38,0.0,7441.0,1717.2,0.0,476.83,769.0,1131.0,0.0,1411.58,487.95
